frame,classe
0,bus
0,truck
0,car
0,bus
0,car
0,car
0,car
0,car
0,car
0,person
0,motorcycle
0,car
0,car
0,person
0,car
0,person
0,car
0,car
0,person
0,car
0,car
1,bus
1,bus
1,car
1,car
1,car
1,car
1,car
1,car
1,car
1,car
1,motorcycle
1,car
1,person
1,car
1,person
1,car
1,person
1,truck
2,bus
2,truck
2,car
2,car
2,bus
2,car
2,car
2,car
2,car
2,car
2,bus
2,car
2,car
2,motorcycle
2,car
2,car
2,person
2,bus
2,person
2,car
2,truck
3,car
3,bus
3,car
3,bus
3,car
3,car
3,car
3,car
3,car
3,car
3,car
3,person
3,car
3,car
3,bus
3,motorcycle
3,bicycle
3,person
3,person
4,bus
4,bus
4,car
4,car
4,car
4,car
4,car
4,car
4,car
4,car
4,bus
4,person
4,motorcycle
4,car
4,person
4,person
4,person
4,car
4,car
4,car
4,car
5,car
5,bus
5,bus
5,car
5,car
5,car
5,car
5,car
5,car
5,car
5,car
5,car
5,car
5,car
5,motorcycle
5,person
5,bus
5,person
5,person
5,car
5,motorcycle
5,car
5,car
6,bus
6,bus
6,car
6,car
6,car
6,car
6,car
6,car
6,car
6,car
6,car
6,car
6,car
6,bus
6,bus
6,person
6,motorcycle
6,person
6,car
6,motorcycle
7,bus
7,bus
7,car
7,car
7,car
7,car
7,car
7,car
7,car
7,car
7,car
7,car
7,person
7,car
7,car
7,car
8,bus
8,car
8,car
8,car
8,bus
8,car
8,car
8,car
8,car
8,car
8,car
8,car
8,car
8,person
8,car
8,car
8,motorcycle
8,bus
8,bus
9,car
9,bus
9,car
9,car
9,bus
9,car
9,car
9,car
9,car
9,car
9,car
9,car
9,person
9,motorcycle
9,person
9,car
9,bus
9,car
9,car
9,car
9,person
9,person
9,bus
10,car
10,car
10,bus
10,car
10,car
10,car
10,car
10,car
10,car
10,person
10,car
10,motorcycle
10,bus
10,car
10,person
10,bus
10,bicycle
10,person
10,person
10,car
10,person
10,car
10,car
11,car
11,car
11,car
11,bus
11,car
11,person
11,car
11,car
11,car
11,car
11,motorcycle
11,car
11,car
11,person
11,car
11,person
11,person
11,car
11,car
12,car
12,car
12,bus
12,car
12,car
12,car
12,car
12,car
12,car
12,motorcycle
12,car
12,person
12,car
12,person
12,car
12,car
12,person
12,bicycle
12,person
12,car
12,bus
12,car
12,person
13,car
13,car
13,bus
13,car
13,car
13,car
13,car
13,car
13,car
13,car
13,person
13,car
13,bicycle
13,person
13,person
13,car
13,bus
13,motorcycle
13,car
13,car
13,car
13,car
13,person
13,car
13,person
14,car
14,car
14,bus
14,car
14,car
14,car
14,car
14,car
14,car
14,car
14,person
14,car
14,car
14,car
14,person
14,bus
14,car
14,person
14,bicycle
14,person
15,car
15,car
15,car
15,bus
15,car
15,car
15,car
15,car
15,truck
15,car
15,car
15,bus
15,person
15,car
15,car
15,car
15,bus
15,person
15,person
15,person
15,car
16,car
16,car
16,truck
16,car
16,car
16,bus
16,car
16,car
16,car
16,car
16,person
16,car
16,bicycle
16,car
16,car
16,car
16,motorcycle
16,car
16,truck
16,car
17,car
17,car
17,car
17,car
17,car
17,car
17,bus
17,car
17,car
17,car
17,car
17,car
17,car
17,bus
17,car
17,person
17,car
17,person
17,motorcycle
17,truck
17,car
18,car
18,car
18,car
18,car
18,bus
18,car
18,car
18,car
18,person
18,car
18,truck
18,car
18,car
18,bus
18,car
18,person
18,car
18,car
18,car
18,bicycle
18,person
18,motorcycle
18,car
18,car
18,car
19,car
19,car
19,car
19,bus
19,car
19,truck
19,car
19,car
19,car
19,person
19,bus
19,car
19,car
19,car
19,car
19,person
19,person
19,car
19,bicycle
19,motorcycle
19,person
20,car
20,car
20,car
20,person
20,car
20,bus
20,car
20,car
20,car
20,truck
20,car
20,motorcycle
20,person
20,person
20,car
20,car
20,bus
21,car
21,car
21,truck
21,bus
21,car
21,car
21,car
21,car
21,car
21,bus
21,person
21,car
21,person
21,car
21,bicycle
21,motorcycle
21,person
21,car
21,car
22,car
22,car
22,car
22,car
22,bus
22,car
22,truck
22,car
22,car
22,person
22,car
22,person
22,car
22,motorcycle
22,car
22,bicycle
22,person
22,person
22,car
23,car
23,car
23,bus
23,car
23,car
23,car
23,car
23,person
23,person
23,truck
23,truck
23,person
23,bicycle
23,car
23,car
23,person
23,motorcycle
23,car
23,car
23,bus
23,car
23,car
24,truck
24,car
24,car
24,bus
24,car
24,car
24,car
24,car
24,car
24,person
24,car
24,car
24,bicycle
24,person
24,car
24,person
25,truck
25,car
25,car
25,car
25,bus
25,car
25,car
25,car
25,car
25,car
25,bicycle
25,person
25,truck
25,person
25,car
25,motorcycle
25,truck
25,car
25,car
25,person
26,truck
26,car
26,car
26,car
26,bus
26,car
26,car
26,car
26,car
26,car
26,car
26,car
26,person
26,person
26,car
26,car
26,car
26,car
26,car
26,truck
27,car
27,car
27,truck
27,bus
27,car
27,car
27,motorcycle
27,car
27,car
27,car
27,car
27,car
27,car
27,bus
27,car
27,car
27,car
27,car
27,car
27,car
27,person
28,car
28,car
28,bus
28,bus
28,car
28,car
28,car
28,car
28,bus
28,car
28,car
28,car
28,motorcycle
28,car
28,car
